outcome,n,mean_score,median_score,settings
regression,1619,-1.9671361381317194,-2.0137452893137104,12
ineffective change,666,1.6186926852360315,1.4685603846717623,12
successful repair,2589,3.941506934911228,4.0010604904392615,12
