method,mean_dz_norm,median_dz_norm,mean_dm,median_dm,mean_cos_to_ideal
FixedPatch,17.560996763742338,17.19276922515369,3.616151671487017,3.278286011889577,0.1169131168743828
DynaPatch-NoGate,8.852354473738691,9.06508196764343,4.7961698624870674,4.084912119898945,0.26189564944805477
NN-Patching,62.36213735866075,56.28979885121637,11.356687851968873,11.892824321985245,0.11304564302638906
PatchNAS,66.29905835201934,66.90356923176887,13.462725123928742,13.100593850016594,0.1490417760179181
