gate,dataset,backbone,q,Reg,CReg,Risk,RR_held,Reg_base,CReg_base,Risk_base,RR_base,n_crit,n_creg,n_clean,n_held,frac_Reg_removed,frac_CReg_removed,frac_Risk_removed
DPGate,gtsrb,densenet121,0.375,0.000134,0.0,0.000134,0.767068,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.9604,1.0,0.974
DPGate,gtsrb,densenet121,0.4,0.0001,0.0,0.0001,0.751004,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.9703,1.0,0.9805
DPGate,gtsrb,densenet121,0.425,3.3e-05,0.0,3.3e-05,0.730924,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.9901,1.0,0.9935
DPGate,gtsrb,densenet121,0.45,0.0,0.0,0.0,0.702811,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.475,0.0,0.0,0.0,0.678715,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.5,0.0,0.0,0.0,0.64257,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.525,0.0,0.0,0.0,0.614458,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.55,0.0,0.0,0.0,0.582329,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.575,0.0,0.0,0.0,0.550201,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.6,0.0,0.0,0.0,0.518072,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.625,0.0,0.0,0.0,0.481928,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.65,0.0,0.0,0.0,0.449799,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.675,0.0,0.0,0.0,0.425703,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.7,0.0,0.0,0.0,0.393574,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.725,0.0,0.0,0.0,0.361446,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.75,0.0,0.0,0.0,0.325301,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.775,0.0,0.0,0.0,0.293173,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.8,0.0,0.0,0.0,0.261044,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.825,0.0,0.0,0.0,0.228916,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.85,0.0,0.0,0.0,0.200803,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.875,0.0,0.0,0.0,0.164659,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.9,0.0,0.0,0.0,0.13253,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.925,0.0,0.0,0.0,0.100402,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.95,0.0,0.0,0.0,0.068273,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,0.975,0.0,0.0,0.0,0.036145,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,densenet121,1.0,0.0,0.0,0.0,0.0,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
DPGate,gtsrb,resnet50,0.0,0.006748,0.000342,0.016921,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.0,0.0,0.0
DPGate,gtsrb,resnet50,0.01,0.006582,0.000342,0.016622,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.0246,0.0,0.0177
DPGate,gtsrb,resnet50,0.02,0.006482,0.000342,0.016422,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.0394,0.0,0.0295
DPGate,gtsrb,resnet50,0.03,0.006383,0.000342,0.01619,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.0542,0.0,0.0432
DPGate,gtsrb,resnet50,0.04,0.006283,0.000342,0.016057,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.069,0.0,0.0511
DPGate,gtsrb,resnet50,0.05,0.00615,0.000342,0.015791,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.0887,0.0,0.0668
DPGate,gtsrb,resnet50,0.06,0.00605,0.000342,0.015558,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.1034,0.0,0.0806
DPGate,gtsrb,resnet50,0.07,0.005984,0.000342,0.015226,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.1133,0.0,0.1002
DPGate,gtsrb,resnet50,0.08,0.005884,0.000342,0.014893,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.1281,0.0,0.1198
DPGate,gtsrb,resnet50,0.09,0.005751,0.000342,0.014627,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.1478,0.0,0.1356
DPGate,gtsrb,resnet50,0.1,0.005651,0.000169,0.014361,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.1626,0.5061,0.1513
DPGate,gtsrb,resnet50,0.11,0.005552,0.000169,0.014228,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.1773,0.5061,0.1591
DPGate,gtsrb,resnet50,0.12,0.005419,0.000169,0.013962,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.197,0.5061,0.1749
DPGate,gtsrb,resnet50,0.13,0.005286,0.0,0.01353,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.2167,1.0,0.2004
DPGate,gtsrb,resnet50,0.14,0.005219,0.0,0.013464,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.2266,1.0,0.2043
DPGate,gtsrb,resnet50,0.15,0.00512,0.0,0.013331,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.2414,1.0,0.2122
DPGate,gtsrb,resnet50,0.16,0.00502,0.0,0.013164,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.2562,1.0,0.222
DPGate,gtsrb,resnet50,0.17,0.004887,0.0,0.012666,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.2759,1.0,0.2515
DPGate,gtsrb,resnet50,0.18,0.004787,0.0,0.012566,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.2906,1.0,0.2574
DPGate,gtsrb,resnet50,0.19,0.004687,0.0,0.0123,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.3054,1.0,0.2731
DPGate,gtsrb,resnet50,0.2,0.004588,0.0,0.0122,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.3202,1.0,0.279
DPGate,gtsrb,resnet50,0.21,0.004488,0.0,0.012034,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.335,1.0,0.2888
DPGate,gtsrb,resnet50,0.22,0.004388,0.0,0.011702,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.3498,1.0,0.3084
DPGate,gtsrb,resnet50,0.23,0.004255,0.0,0.011336,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.3695,1.0,0.3301
DPGate,gtsrb,resnet50,0.24,0.004155,0.0,0.01107,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.3842,1.0,0.3458
DPGate,gtsrb,resnet50,0.25,0.004022,0.0,0.010804,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.4039,1.0,0.3615
DPGate,gtsrb,resnet50,0.26,0.003923,0.0,0.010538,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.4187,1.0,0.3772
DPGate,gtsrb,resnet50,0.27,0.003856,0.0,0.010272,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.4286,1.0,0.3929
DPGate,gtsrb,resnet50,0.28,0.003757,0.0,0.010173,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.4433,1.0,0.3988
DPGate,gtsrb,resnet50,0.29,0.003657,0.0,0.00994,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.4581,1.0,0.4126
DPGate,gtsrb,resnet50,0.3,0.003524,0.0,0.009508,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.4778,1.0,0.4381
DPGate,gtsrb,resnet50,0.325,0.003258,0.0,0.008876,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.5172,1.0,0.4754
