method,variant,setting,label,dataset,backbone,seed,metric,value,note,source
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,202,CReg,0.000516,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,303,RR_seen,0.954023,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,303,RR_held,0.834101,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,303,Reg,0.001332,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,303,CReg,0.0,,outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,101,RR_seen,0.672414,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,101,RR_held,0.686636,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,101,Reg,0.003485,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,101,CReg,0.00051,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,202,RR_seen,0.787356,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,202,RR_held,0.682028,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,202,Reg,0.00451,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,202,CReg,0.000516,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,303,RR_seen,0.741379,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,303,RR_held,0.709677,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,303,Reg,0.004305,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,303,CReg,0.0,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/densenet121,G-DN,gtsrb,densenet121,101,RR_seen,1.0,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/densenet121,G-DN,gtsrb,densenet121,101,RR_held,0.831325,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/densenet121,G-DN,gtsrb,densenet121,101,Reg,0.004212,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/densenet121,G-DN,gtsrb,densenet121,101,CReg,0.000507,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/densenet121,G-DN,gtsrb,densenet121,202,RR_seen,1.0,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/densenet121,G-DN,gtsrb,densenet121,202,RR_held,0.771084,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/densenet121,G-DN,gtsrb,densenet121,202,Reg,0.001705,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/densenet121,G-DN,gtsrb,densenet121,202,CReg,0.001525,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/densenet121,G-DN,gtsrb,densenet121,303,RR_seen,1.0,,outputs/patch_ablation
