setting,seed,lambda,RR_held,Reg,CReg,method
lisa_signs/densenet121,202,2.0,0.23529411764705882,0.0010559662090813093,0.0027624309392265192,DynaPatch
lisa_signs/densenet121,202,4.0,0.23529411764705882,0.0010559662090813093,0.0027624309392265192,DynaPatch
lisa_signs/resnet50,202,0.5,0.4117647058823529,0.0026795284030010718,0.004213483146067416,DynaPatch
lisa_signs/resnet50,202,1.0,0.38235294117647056,0.0026795284030010718,0.004213483146067416,DynaPatch
lisa_signs/resnet50,202,2.0,0.3235294117647059,0.001607717041800643,0.0014044943820224719,DynaPatch
lisa_signs/resnet50,202,4.0,0.3235294117647059,0.001607717041800643,0.0014044943820224719,DynaPatch
lisa_signs/vgg16,202,0.5,0.3055555555555556,0.001609442060085837,0.0027359781121751026,DynaPatch
lisa_signs/vgg16,202,1.0,0.25,0.001609442060085837,0.0027359781121751026,DynaPatch
lisa_signs/vgg16,202,2.0,0.19444444444444445,0.001072961373390558,0.0027359781121751026,DynaPatch
lisa_signs/vgg16,202,4.0,0.19444444444444445,0.001072961373390558,0.0027359781121751026,DynaPatch
tt100k_signs/convnext_tiny,202,0.5,0.30275229357798167,0.006296194908294552,0.0031530439000727628,DynaPatch
tt100k_signs/convnext_tiny,202,1.0,0.2981651376146789,0.005064330687106488,0.0026679602231384912,DynaPatch
tt100k_signs/convnext_tiny,202,2.0,0.26146788990825687,0.0036955926635641938,0.002425418384671356,DynaPatch
tt100k_signs/convnext_tiny,202,4.0,0.23394495412844038,0.0023268546400219,0.002425418384671356,DynaPatch
tt100k_signs/densenet121,202,0.5,0.4807692307692308,0.006429070580013976,0.001235483073881888,DynaPatch
tt100k_signs/densenet121,202,1.0,0.47435897435897434,0.004891684136967156,0.0009883864591055103,DynaPatch
tt100k_signs/densenet121,202,2.0,0.44551282051282054,0.0041928721174004195,0.0009883864591055103,DynaPatch
tt100k_signs/densenet121,202,4.0,0.40705128205128205,0.002795248078266946,0.0007412898443291327,DynaPatch
tt100k_signs/resnet50,202,0.5,0.31007751937984496,0.005109085887876277,0.001718634912840658,DynaPatch
tt100k_signs/resnet50,202,1.0,0.29069767441860467,0.0040044186688760015,0.0014731156395777069,DynaPatch
tt100k_signs/resnet50,202,2.0,0.26356589147286824,0.0035901684617508974,0.0012275963663147557,DynaPatch
tt100k_signs/resnet50,202,4.0,0.21705426356589147,0.0024855012427506215,0.0009820770930518046,DynaPatch
tt100k_signs/vgg16,202,0.5,0.32926829268292684,0.016129032258064516,0.01183723797780518,DynaPatch
tt100k_signs/vgg16,202,1.0,0.32926829268292684,0.016129032258064516,0.01183723797780518,DynaPatch
tt100k_signs/vgg16,202,2.0,0.32621951219512196,0.014025245441795231,0.010850801479654747,DynaPatch
tt100k_signs/vgg16,202,4.0,0.20121951219512196,0.0061711079943899015,0.004932182490752158,DynaPatch
