experiment_id,setting,dataset,backbone,seed,condition,n,n_classes,n_estimable_classes,n_permutations,eligible_fraction,n_eligible,moved_fraction,original_RR_held,original_minus_mean_RR,p_null_ge_original,original_RR_held_eligible,RR_held_mean_eligible,RR_held_std_eligible,RR_held_p025_eligible,RR_held_p975_eligible,original_minus_mean_RR_eligible,p_null_ge_original_eligible,max_reconstruction_error,RR_held_mean,RR_held_std,RR_held_p025,RR_held_p975,macro_RR_mean,macro_RR_std,macro_RR_p025,macro_RR_p975,coverage_at_0.5_mean,coverage_at_0.5_std,coverage_at_0.5_p025,coverage_at_0.5_p975,target_margin_gain_mean,target_margin_gain_std,target_margin_gain_p025,target_margin_gain_p975,flip_rate_mean,flip_rate_std,flip_rate_p025,flip_rate_p975
patch_reassignment_patchnas_v1,gtsrb/resnet50,gtsrb,resnet50,101,original,48,20,2,1,1.0,48,0.0,0.625,0.0,nan,0.625,0.625,0.0,0.625,0.625,0.0,nan,0.0,0.625,0.0,0.625,0.625,0.5375,0.0,0.5375,0.5375,1.0,0.0,1.0,1.0,11.394936193479225,0.0,11.394936193479225,11.394936193479225,0.9791666666666666,0.0,0.9791666666666666,0.9791666666666666
patch_reassignment_patchnas_v1,gtsrb/resnet50,gtsrb,resnet50,101,global_effect_shuffle,48,20,2,200,1.0,48,0.9785416666666668,0.625,0.3720833333333334,0.004975124378109453,0.625,0.2529166666666666,0.056019589827527694,0.16614583333333333,0.375,0.3720833333333334,0.004975124378109453,0.0,0.2529166666666666,0.056019589827527694,0.16614583333333333,0.375,0.21724999999999997,0.06181996710880177,0.11645833333333333,0.3461458333333334,0.11,0.2188606862823929,0.0,0.5,2.4219716273129843,0.7200329093210787,0.9830207905882465,3.896763278718572,0.8133333333333332,0.049249576986339014,0.7291666666666666,0.9166666666666666
patch_reassignment_patchnas_v1,gtsrb/resnet50,gtsrb,resnet50,101,global_direction_shuffle,48,20,2,200,1.0,48,0.9785416666666665,0.625,0.37572916666666667,0.004975124378109453,0.625,0.24927083333333336,0.05434176426791828,0.14583333333333334,0.35468750000000016,0.37572916666666667,0.004975124378109453,0.0,0.24927083333333336,0.05434176426791828,0.14583333333333334,0.35468750000000016,0.21702083333333333,0.061996272149353195,0.10822916666666668,0.35010416666666666,0.13,0.23579652245103191,0.0,0.5,2.5776034427773946,0.7788826619676115,1.0446929780187524,3.879371576767965,0.8215625,0.05301571684546847,0.7286458333333333,0.9166666666666666
patch_reassignment_patchnas_v1,gtsrb/resnet50,gtsrb,resnet50,101,global_magnitude_shuffle,48,20,2,200,1.0,48,0.9770833333333333,0.625,-0.04760416666666656,0.9950248756218906,0.625,0.6726041666666666,0.021788270528862293,0.625,0.7083333333333334,-0.04760416666666656,0.9950248756218906,0.0,0.6726041666666666,0.021788270528862293,0.625,0.7083333333333334,0.5614375,0.023262532091446013,0.5,0.5958333333333334,1.0,0.0,1.0,1.0,11.993538559529952,0.2541769913881411,11.4978875031431,12.524438803520082,0.9658333333333334,0.011031835245728074,0.9578125000000001,0.9791666666666666
patch_reassignment_patchnas_v1,gtsrb/resnet50,gtsrb,resnet50,101,within_true_class_shuffle,48,20,2,200,0.8333333333333334,40,0.57625,0.625,0.0033333333333334103,0.6318407960199005,0.65,0.6460000000000001,0.02228227995515721,0.6,0.675,0.0039999999999998925,0.6318407960199005,0.0,0.6216666666666666,0.018568566629297678,0.5833333333333334,0.6458333333333334,0.5336875,0.014214243028072619,0.5041666666666667,0.5541666666666667,1.0,0.0,1.0,1.0,9.69737931671242,0.40100885445077655,8.917569417816896,10.459617056014638,0.96125,0.020628156324144265,0.9166666666666666,1.0
patch_reassignment_patchnas_v1,gtsrb/resnet50,gtsrb,resnet50,101,within_failure_type_shuffle,48,20,2,200,0.5208333333333334,25,0.30864583333333334,0.625,0.003645833333333348,0.6716417910447762,0.68,0.6729999999999998,0.026962937525425525,0.64,0.72,0.007000000000000228,0.6716417910447762,0.0,0.6213541666666667,0.01404319662782582,0.6041666666666666,0.6458333333333334,0.5333541666666666,0.010056243741797645,0.5208333333333334,0.55,1.0,0.0,1.0,1.0,11.394936193479225,0.0,11.394936193479225,11.394936193479225,0.9791666666666665,1.1102230246251565e-16,0.9791666666666666,0.9791666666666666
patch_reassignment_patchnas_v1,gtsrb/resnet50,gtsrb,resnet50,202,original,48,20,4,1,1.0,48,0.0,0.7291666666666666,0.0,nan,0.7291666666666666,0.7291666666666666,0.0,0.7291666666666666,0.7291666666666666,0.0,nan,0.0,0.7291666666666666,0.0,0.7291666666666666,0.7291666666666666,0.684047619047619,0.0,0.684047619047619,0.684047619047619,1.0,0.0,1.0,1.0,15.90674335177755,0.0,15.90674335177755,15.90674335177755,0.9791666666666666,0.0,0.9791666666666666,0.9791666666666666
patch_reassignment_patchnas_v1,gtsrb/resnet50,gtsrb,resnet50,202,global_effect_shuffle,48,20,4,200,1.0,48,0.9791666666666665,0.7291666666666666,0.5728125,0.004975124378109453,0.7291666666666666,0.15635416666666666,0.05295100182007891,0.0625,0.2708333333333333,0.5728125,0.004975124378109453,0.0,0.15635416666666666,0.05295100182007891,0.0625,0.2708333333333333,0.1298392857142857,0.05498411406066557,0.04035119047619048,0.24947619047619052,0.05625,0.1102199505534275,0.0,0.25,3.418623129300152,1.1847138833456945,1.364437326967406,5.7601922023459355,0.8535416666666665,0.04279259979508399,0.7703125000000001,0.9171875
patch_reassignment_patchnas_v1,gtsrb/resnet50,gtsrb,resnet50,202,global_direction_shuffle,48,20,4,200,1.0,48,0.980625,0.7291666666666666,0.5785416666666666,0.004975124378109453,0.7291666666666666,0.150625,0.047034912417385354,0.0625,0.25,0.5785416666666666,0.004975124378109453,0.0,0.150625,0.047034912417385354,0.0625,0.25,0.1257952380952381,0.05412394673319126,0.04047619047619048,0.231202380952381,0.04625,0.10629410849148696,0.0,0.25,2.9722560460190106,1.0545287385155682,1.077760969269031,5.370859080777311,0.8692708333333334,0.038127703683731654,0.8119791666666667,0.9375
patch_reassignment_patchnas_v1,gtsrb/resnet50,gtsrb,resnet50,202,global_magnitude_shuffle,48,20,4,200,1.0,48,0.9801041666666666,0.7291666666666666,0.017187500000000022,0.32338308457711445,0.7291666666666666,0.7119791666666666,0.01373065242340005,0.6875,0.7291666666666666,0.017187500000000022,0.32338308457711445,0.0,0.7119791666666666,0.01373065242340005,0.6875,0.7291666666666666,0.6588690476190476,0.024773849568627413,0.6269047619047619,0.684047619047619,1.0,0.0,1.0,1.0,16.810943627826084,0.5086941702655591,15.853464686596611,17.675870147768002,0.9799999999999999,0.0040824829046386376,0.9791666666666666,1.0
