method,setting,seed,n_classes_failed,RR_macro,RR_median_class,RR_p10_class,RR_iqr_class,repair_conc20,repair_spread,repair_spread_z,n_repaired,cov0.3,cov0.5,cov0.7,n_classes_est,Reg_overall,Reg_macro,Reg_max_class,n_classes_hit,frac_classes_hit,reg_conc20,reg_spread,reg_spread_z,n_regressed
DynaPatch (ungated),gtsrb/resnet50,202,20,0.7007142857142857,1.0,0.0,0.625,0.5555555555555556,0.8685581933989578,-1.8552415064778558,36,1.0,1.0,1.0,4,0.004587613443702005,0.0061543035167210824,0.047619047619047616,15,0.3488372093023256,0.8695652173913043,0.6333790773778106,-3.9747380349244374,46
DynaPatch (ungated),gtsrb/resnet50,303,20,0.6166666666666666,1.0,0.0,1.0,0.59375,0.7885956930542918,-2.5941270914237067,32,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.007280343073701007,0.010598348578202509,0.12195121951219512,17,0.3953488372093023,0.8493150684931506,0.5872193436960277,-4.9694701303627165,73
DynaPatch (ungated),gtsrb/vgg16,101,29,0.4834750548906629,0.6363636363636364,0.0,0.8,0.5862068965517241,0.7807417046193884,-4.703731703803298,116,0.8235294117647058,0.7058823529411765,0.5294117647058824,17,0.0035710641771247833,0.0070667737748771305,0.2,11,0.2558139534883721,0.9428571428571428,0.5412719891745602,-4.644736113020477,35
DynaPatch (ungated),gtsrb/vgg16,202,29,0.4342307118169187,0.5,0.0,0.7272727272727273,0.5775862068965517,0.7452258965999069,-5.463720330356302,116,0.7368421052631579,0.7368421052631579,0.5263157894736842,19,0.005101520253035404,0.008009485957616951,0.20454545454545456,16,0.37209302325581395,0.86,0.6537282941777324,-3.9517575958310918,50
DynaPatch (ungated),gtsrb/vgg16,303,30,0.4303071329541918,0.38888888888888884,0.0,0.7410714285714286,0.6272727272727273,0.7862223886184949,-4.327620761258004,110,0.7647058823529411,0.5294117647058824,0.4117647058823529,17,0.003264972961942659,0.0032169980671690854,0.029850746268656716,13,0.3023255813953488,0.875,0.6641123882503193,-3.4608259154883845,32
DynaPatch (ungated),lisa_signs/convnext_tiny,101,6,0.28571428571428575,0.0,0.0,0.5357142857142857,0.8333333333333334,0.5412719891745602,-2.0088029172703834,6,1.0,1.0,1.0,1,0.00105318588730911,0.0017187380643189979,0.05263157894736842,2,0.03773584905660377,1.0,1.0389610389610389,0.28474739872574956,2
DynaPatch (ungated),lisa_signs/convnext_tiny,202,8,0.4125,0.25,0.0,0.8500000000000001,0.75,0.7276034561164166,-1.723435969698855,8,1.0,1.0,1.0,1,0.00105318588730911,0.000884453099642973,0.03333333333333333,2,0.038461538461538464,1.0,1.0430247718383312,0.2998637292684632,2
DynaPatch (ungated),lisa_signs/convnext_tiny,303,9,0.3333333333333333,0.0,0.0,1.0,0.8571428571428571,0.5452067242162653,-2.9804473387799684,7,,,,0,0.00315955766192733,0.0024473054102683734,0.045454545454545456,5,0.09259259259259259,1.0,0.9871668311944718,-0.07682898466942116,6
DynaPatch (ungated),lisa_signs/densenet121,101,10,0.3,0.0,0.0,0.75,0.8571428571428571,0.5417607223476298,-3.3504554348344593,7,,,,0,0.005279831045406547,0.0062094393246506525,0.18181818181818182,5,0.09615384615384616,1.0,0.6538084341288003,-2.22703699779624,10
DynaPatch (ungated),lisa_signs/densenet121,202,11,0.36363636363636365,0.0,0.0,1.0,0.625,0.6072106261859582,-3.1556198002128264,8,,,,0,0.0021119324181626186,0.003084495488105004,0.12,2,0.03773584905660377,1.0,0.5559416261292565,-2.7178204939113266,4
DynaPatch (ungated),lisa_signs/densenet121,303,12,0.3333333333333333,0.0,0.0,0.75,0.5,0.9358914365933552,-0.4867130584773987,6,,,,0,0.006863780359028511,0.006443166462685005,0.16666666666666666,6,0.11320754716981132,1.0,0.6530612244897959,-2.275425654200815,13
DynaPatch (ungated),lisa_signs/resnet50,101,13,0.5948717948717949,0.5,0.0,0.6666666666666667,0.6190476190476191,0.9878982464806124,-0.11079311296714436,21,1.0,0.3333333333333333,0.3333333333333333,3,0.006966773847802787,0.01221428772198325,0.3333333333333333,8,0.15384615384615385,1.0,0.8665041971297048,-0.8559350266125085,13
DynaPatch (ungated),lisa_signs/resnet50,202,11,0.5909090909090909,0.6666666666666666,0.0,0.75,0.6190476190476191,0.8786381109280614,-1.081476853067543,21,1.0,1.0,0.5,2,0.0053590568060021436,0.0245814116036128,1.0,6,0.11538461538461539,1.0,0.7892140743176587,-1.3594703477761723,10
DynaPatch (ungated),lisa_signs/resnet50,303,17,0.3473389355742297,0.0,0.0,0.5714285714285714,0.6153846153846154,0.8549292011755276,-1.073300704066786,13,1.0,1.0,0.0,1,0.00482315112540193,0.02242252650360557,1.0,7,0.1320754716981132,1.0,0.9932600212841433,-0.04308855316701927,9
DynaPatch (ungated),lisa_signs/vgg16,101,21,0.38095238095238093,0.0,0.0,1.0,0.5384615384615384,0.9903441445902451,-0.07939713746271888,13,1.0,0.0,0.0,1,0.001609442060085837,0.002804487179487179,0.08333333333333333,2,0.038461538461538464,1.0,0.7117437722419929,-2.0007625148014276,3
DynaPatch (ungated),lisa_signs/vgg16,202,18,0.31481481481481477,0.0,0.0,0.625,0.7272727272727273,0.8330853912526034,-1.1893737504415818,11,0.5,0.5,0.0,2,0.001609442060085837,0.011006289308176102,0.5,2,0.03773584905660377,1.0,0.718132854578097,-1.856591096399764,3
DynaPatch (ungated),lisa_signs/vgg16,303,17,0.3431372549019608,0.3333333333333333,0.0,0.5,0.5,0.9947499309201437,-0.04103001864336796,12,0.0,0.0,0.0,1,0.000536480686695279,0.0010482180293501047,0.05555555555555555,1,0.018867924528301886,1.0,1.0,0.0,1
DynaPatch (ungated),tt100k_signs/convnext_tiny,101,87,0.23085124104614357,0.0,0.0,0.5,0.8,0.7633587786259542,-3.315828302787528,55,0.2727272727272727,0.2727272727272727,0.2727272727272727,11,0.010676156583629894,0.017135257485042105,0.76,17,0.14285714285714285,1.0,0.4884355696020687,-5.437566519741752,78
DynaPatch (ungated),tt100k_signs/convnext_tiny,202,85,0.2921572218631042,0.0,0.0,0.6,0.8026315789473685,0.7257470091285366,-4.026597846331305,76,0.5555555555555556,0.3333333333333333,0.2222222222222222,9,0.008212428141253765,0.020901418881904096,0.7407407407407407,13,0.10833333333333334,1.0,0.4343105320304017,-5.754580958454322,60
DynaPatch (ungated),tt100k_signs/convnext_tiny,303,84,0.2969364699627858,0.0,0.0,0.75,0.8051948051948052,0.7171270099165219,-4.326938861785658,77,0.4444444444444444,0.3333333333333333,0.3333333333333333,9,0.008759923350670681,0.02573186156760504,0.8181818181818182,15,0.1271186440677966,1.0,0.4839490240361348,-5.330193663895018,64
DynaPatch (ungated),tt100k_signs/densenet121,101,92,0.3367319448037785,0.0,0.0,0.8607692307692307,0.8414634146341463,0.5722239406124343,-8.123216649023442,164,0.7894736842105263,0.631578947368421,0.47368421052631576,19,0.012718378756114606,0.039726472623025186,1.0,20,0.17857142857142858,1.0,0.5480202767502398,-5.122281775035478,91
DynaPatch (ungated),tt100k_signs/densenet121,202,82,0.34897027092149047,0.0,0.0,0.8592657342657343,0.8493975903614458,0.6190914414791265,-7.238931200249953,166,0.7,0.65,0.5,20,0.011320754716981131,0.04680383540885473,1.0,20,0.18018018018018017,1.0,0.580130529369108,-4.61460801444468,81
DynaPatch (ungated),tt100k_signs/densenet121,303,86,0.32752496862808983,0.0,0.0,0.7410714285714286,0.8037974683544303,0.5719278735403924,-8.494475556349986,158,0.7222222222222222,0.7222222222222222,0.5,18,0.014814814814814815,0.03117955383851374,1.0,20,0.17699115044247787,1.0,0.5093594804533299,-5.91586539796287,106
DynaPatch (ungated),tt100k_signs/resnet50,101,91,0.30191603268526346,0.0,0.0,0.6,0.8165137614678899,0.6388358990284371,-6.555696066800207,109,0.75,0.5625,0.375,16,0.014084507042253521,0.04036245667930902,1.0,27,0.23076923076923078,0.9607843137254902,0.6807008697844448,-3.9563108164106273,102
DynaPatch (ungated),tt100k_signs/resnet50,202,92,0.2685300207039337,0.0,0.0,0.5,0.82,0.6817536218161159,-5.195551784814251,100,0.7692307692307693,0.5384615384615384,0.46153846153846156,13,0.011875172604252969,0.027687911902911283,0.8333333333333334,28,0.23931623931623933,0.9418604651162791,0.7705008255365987,-2.53374916109343,86
DynaPatch (ungated),tt100k_signs/resnet50,303,89,0.2679944752317522,0.0,0.0,0.5,0.8444444444444444,0.6450637504409615,-5.281695616108263,90,0.5,0.42857142857142855,0.2857142857142857,14,0.009665838166252416,0.028341960729672926,0.75,23,0.19827586206896552,1.0,0.7096027767065175,-3.1870464268101184,70
DynaPatch (ungated),tt100k_signs/vgg16,101,100,0.25209271284271284,0.0,0.0,0.5,0.7553191489361702,0.7887375613335168,-3.454693083588495,94,0.47619047619047616,0.42857142857142855,0.14285714285714285,21,0.015988779803646564,0.04194980909348814,1.0,31,0.26956521739130435,0.9298245614035088,0.7521077212349123,-3.0919287281016965,114
DynaPatch (ungated),tt100k_signs/vgg16,202,103,0.2621094206045662,0.0,0.0,0.4772727272727273,0.7777777777777778,0.7479120787800724,-4.570173828274496,108,0.6666666666666666,0.42857142857142855,0.3333333333333333,21,0.016129032258064516,0.04487859590559338,1.0,38,0.3247863247863248,0.8695652173913043,0.9187620889748549,-0.9856636452612108,115
DynaPatch (ungated),tt100k_signs/vgg16,303,102,0.23978758169934644,0.0,0.0,0.5,0.84375,0.6264542688383749,-6.342293270121948,96,0.43478260869565216,0.391304347826087,0.2608695652173913,23,0.01865357643758766,0.037319981062795674,0.6862745098039216,35,0.30434782608695654,0.9097744360902256,0.7896221094190636,-2.5923413707580254,133
FixedPatch,gtsrb/convnext_tiny,101,25,0.5499913986096382,0.6,0.0,0.625,0.6442953020134228,0.8768084173608067,-2.1217973655994578,149,0.9166666666666666,0.8333333333333334,0.5,12,0.003484677667315773,0.002502436366034301,0.06321839080459771,8,0.18604651162790697,1.0,0.39835677828955557,-6.145299889566928,34
