method,setting,seed,kind,true_class,n_events,n_pool
Always Patch (ungated),gtsrb/convnext_tiny,202,repair,22,6,6
Always Patch (ungated),gtsrb/convnext_tiny,202,repair,24,1,2
Always Patch (ungated),gtsrb/convnext_tiny,202,repair,25,29,29
Always Patch (ungated),gtsrb/convnext_tiny,202,repair,28,5,5
Always Patch (ungated),gtsrb/convnext_tiny,202,repair,30,20,20
Always Patch (ungated),gtsrb/convnext_tiny,202,repair,31,3,3
Always Patch (ungated),gtsrb/convnext_tiny,202,repair,35,4,4
Always Patch (ungated),gtsrb/convnext_tiny,202,repair,36,0,1
Always Patch (ungated),gtsrb/convnext_tiny,202,repair,38,1,2
Always Patch (ungated),gtsrb/convnext_tiny,202,repair,40,0,1
Always Patch (ungated),gtsrb/convnext_tiny,202,repair,41,6,6
Always Patch (ungated),gtsrb/convnext_tiny,202,repair,42,43,43
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,0,0,45
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,1,1,569
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,2,2,606
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,3,0,341
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,4,0,526
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,5,7,484
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,6,3,108
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,7,0,349
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,8,31,362
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,9,17,380
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,10,0,498
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,11,0,306
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,12,5,553
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,13,0,571
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,14,0,217
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,15,0,170
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,16,0,120
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,17,0,291
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,18,0,281
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,19,0,53
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,20,0,68
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,21,0,64
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,22,0,89
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,23,62,126
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,24,0,68
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,25,0,339
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,26,1,142
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,27,0,42
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,28,0,111
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,29,0,72
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,30,0,87
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,31,0,212
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,32,0,49
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,33,2,169
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,34,0,101
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,35,3,299
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,36,3,98
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,37,1,52
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,38,1,546
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,39,0,78
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,40,4,69
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,41,0,36
Always Patch (ungated),gtsrb/convnext_tiny,202,regression,42,0,10
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,0,0,1
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,1,0,1
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,3,3,3
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,4,0,1
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,5,10,14
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,6,8,8
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,7,4,7
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,10,12,12
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,11,14,14
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,13,1,1
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,14,0,1
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,18,22,22
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,21,2,2
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,22,8,8
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,25,33,33
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,28,4,4
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,30,23,23
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,31,4,4
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,35,4,4
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,36,0,1
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,38,1,1
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,39,0,1
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,40,0,2
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,41,5,5
Always Patch (ungated),gtsrb/convnext_tiny,303,repair,42,44,44
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,0,0,45
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,1,0,562
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,2,3,608
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,3,0,338
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,4,1,524
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,5,20,482
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,6,9,94
