method,setting,seed,split,grouping,n_vec,n_groups,cos_within,cos_between,cos_gap,cos_gap_null_mean,cos_gap_null_sd,cos_z,cos_p_perm,l2_within,l2_between,l2_gap,l2_gap_null_mean,l2_gap_null_sd,l2_z,l2_p_perm,n_pairs_within,n_pairs_between,note
DynaPatch-NoGate,gtsrb/resnet50,101,seen,failure_type,38,24.0,0.04018610173681475,0.8698157394029762,0.8296296376661614,0.002311262414991292,0.06827700950929896,12.11708569524236,0.0,0.1990897948679351,0.9764056860619524,0.7773158911940173,-0.004662346532669683,0.05481382708245224,14.266076268240695,0.0,21.0,682.0,
DynaPatch-NoGate,gtsrb/resnet50,101,seen,true_class,38,19.0,0.06230101822287481,0.8998362185251911,0.8375352003023163,-0.00048242161603258006,0.048328760618269614,17.339936120443674,0.0,0.26488822888043895,1.0013770244413667,0.7364887955609277,-0.005030548666000362,0.035633547628360615,20.80958516788112,0.0,46.0,657.0,
DynaPatch-NoGate,gtsrb/resnet50,101,held,failure_type,48,33.0,0.08829344364625971,0.8046350866988577,0.7163416430525981,0.00896079785486006,0.06273388691055942,11.275896967694427,0.0,0.25571974552985516,1.0054454459129494,0.7497257003830942,-0.0026639184097974984,0.05821577678647091,12.924153216054304,0.0,21.0,1107.0,
DynaPatch-NoGate,gtsrb/resnet50,101,held,true_class,48,20.0,0.2516464043816008,0.8205511325589478,0.568904728177347,0.0028128531921239723,0.03847199673872723,14.714387683461755,0.0,0.4951804315443694,1.0183904282730734,0.5232099967287039,0.0014210046321055626,0.03215917679831497,16.225197409521787,0.0,58.0,1070.0,
DynaPatch-NoGate,gtsrb/resnet50,202,seen,failure_type,38,26.0,0.02940005874763753,0.9215412156976054,0.8921411569499679,-0.003557878837363367,0.07615577008885711,11.761407372422143,0.0,0.16640550375554383,0.9909317339219009,0.8245262301663571,-0.0029358942131189874,0.05646648514945021,14.654039864085265,0.0,14.0,689.0,
DynaPatch-NoGate,gtsrb/resnet50,202,seen,true_class,38,20.0,0.08872091845746932,0.9426444546162117,0.8539235361587424,-0.000665877894435219,0.05097421320285299,16.76513202147045,0.0,0.2861543951229619,1.007339345873074,0.721184950750112,-0.0024561769619930746,0.04007593115007952,18.056751444753704,0.0,32.0,671.0,
DynaPatch-NoGate,gtsrb/resnet50,202,held,failure_type,48,32.0,0.1189662601970963,0.8492711901648272,0.7303049299677309,0.00897824862582197,0.06877024307813183,10.48893604333927,0.0,0.2560043374870785,0.9802646337595432,0.7242602962724647,0.006930403897509664,0.05046357211856423,14.21480609171647,0.0,31.0,1097.0,
DynaPatch-NoGate,gtsrb/resnet50,202,held,true_class,48,20.0,0.23765581626280763,0.8671489190292968,0.6294931027664892,0.0020659420490320535,0.0440406475001505,14.24654714036769,0.0,0.43334585171835016,0.9941687922447836,0.5608229405264334,0.005595870648810622,0.03355612622232478,16.54622068657275,0.0,68.0,1060.0,
DynaPatch-NoGate,gtsrb/resnet50,303,seen,failure_type,38,25.0,0.03340518226970134,0.8892864119784487,0.8558812297087474,0.004930577805541195,0.07078429465923038,12.02174374962454,0.0,0.16385979441360293,0.985129600380436,0.8212698059668331,0.006093577812834186,0.049033233042664326,16.62497407478884,0.0,20.0,683.0,
DynaPatch-NoGate,gtsrb/resnet50,303,seen,true_class,38,18.0,0.0737654496625583,0.9088909930768168,0.8351255434142585,0.0038088479138736865,0.0507718501717577,16.373574976521905,0.0,0.257492165866381,1.0008911453619425,0.7433989794955614,0.0024371545387822384,0.03708605801449446,19.979525045428318,0.0,37.0,666.0,
DynaPatch-NoGate,gtsrb/resnet50,303,held,failure_type,48,28.0,0.1180985853471697,0.8088488378431734,0.6907502524960037,0.002466628662440391,0.05312420803047885,12.95612018207819,0.0,0.3085379927307909,0.9923710231748112,0.6838330304440203,0.001962876012982595,0.04371193549956636,15.599175525462673,0.0,30.0,1098.0,
DynaPatch-NoGate,gtsrb/resnet50,303,held,true_class,48,20.0,0.2304500770818914,0.8230497905564186,0.5925997134745271,7.845962786973137e-05,0.03738258106205079,15.850196455062584,0.0,0.460673490097445,1.004050437937922,0.5433769478404771,0.0020439316191623574,0.03674920771106201,14.730467673283625,0.0,62.0,1066.0,
DynaPatch-NoGate,gtsrb/convnext_tiny,101,seen,failure_type,174,47.0,0.010214920890894477,0.8685665261040484,0.8583516052131539,0.002601270247609139,0.014372529186160344,59.54069209544738,0.0,0.09009430275778285,0.968113598422442,0.8780192956646592,-8.592162277324234e-05,0.012494966459559912,70.27671663298595,0.0,870.0,14181.0,
DynaPatch-NoGate,gtsrb/convnext_tiny,101,seen,true_class,174,25.0,0.06813478310429416,0.8953459878004261,0.827211204696132,0.0020414712723689932,0.012697966142281943,64.9844017626659,0.0,0.20516785281850203,0.9898263426696585,0.7846584898511565,-0.0011441028865211023,0.009735564043103141,80.71464469628141,0.0,1390.0,13661.0,
DynaPatch-NoGate,gtsrb/convnext_tiny,101,held,failure_type,217,49.0,0.024965968528406584,0.8448988514049265,0.8199328828765199,9.257472179370952e-05,0.014861333718375485,55.165998128812504,0.0,0.1200297252701082,0.9660418111866221,0.8460120859165139,-0.00013140114589811847,0.011542738794641124,73.30526160584527,0.0,1262.0,22174.0,
DynaPatch-NoGate,gtsrb/convnext_tiny,101,held,true_class,217,25.0,0.09878722549372425,0.8707776885000482,0.771990463006324,0.0002500612282003578,0.012914569597464527,59.75734583287076,0.0,0.26089775015947314,0.9862890669969024,0.7253913168374293,-0.00016559036643434445,0.009856254767850943,73.61385477746231,0.0,2126.0,21310.0,
DynaPatch-NoGate,gtsrb/convnext_tiny,202,seen,failure_type,174,49.0,0.011127793916324659,0.8680583559724219,0.8569305620560972,-0.001266040873141423,0.01601135453350616,53.59925052435347,0.0,0.09497377359910217,0.9700375602110165,0.8750637866119143,-0.00012881577879617133,0.011031789232686964,79.33369500191313,0.0,837.0,14214.0,
