experiment_id,setting,dataset,backbone,seed,condition,n,n_classes,n_estimable_classes,n_permutations,eligible_fraction,n_eligible,moved_fraction,original_RR_held,original_minus_mean_RR,p_null_ge_original,original_RR_held_eligible,RR_held_mean_eligible,RR_held_std_eligible,RR_held_p025_eligible,RR_held_p975_eligible,original_minus_mean_RR_eligible,p_null_ge_original_eligible,max_reconstruction_error,RR_held_mean,RR_held_std,RR_held_p025,RR_held_p975,macro_RR_mean,macro_RR_std,macro_RR_p025,macro_RR_p975,coverage_at_0.5_mean,coverage_at_0.5_std,coverage_at_0.5_p025,coverage_at_0.5_p975,target_margin_gain_mean,target_margin_gain_std,target_margin_gain_p025,target_margin_gain_p975,flip_rate_mean,flip_rate_std,flip_rate_p025,flip_rate_p975
patch_reassignment_v1,gtsrb/resnet50,gtsrb,resnet50,101,original,48,20,2,1,1.0,48,0.0,0.6875,0.0,nan,0.6875,0.6875,0.0,0.6875,0.6875,0.0,nan,0.0,0.6875,0.0,0.6875,0.6875,0.5708333333333333,0.0,0.5708333333333333,0.5708333333333333,1.0,0.0,1.0,1.0,5.770203728519846,0.0,5.770203728519846,5.770203728519846,0.8541666666666666,0.0,0.8541666666666666,0.8541666666666666
patch_reassignment_v1,gtsrb/resnet50,gtsrb,resnet50,101,global_effect_shuffle,48,20,2,200,1.0,48,0.9814583333333334,0.6875,0.4463541666666666,0.004975124378109453,0.6875,0.24114583333333336,0.05718503334085278,0.125,0.3541666666666667,0.4463541666666666,0.004975124378109453,0.0,0.24114583333333336,0.05718503334085278,0.125,0.3541666666666667,0.2078125,0.06398233466594944,0.08333333333333333,0.32927083333333335,0.3175,0.3089397190391679,0.0,1.0,1.0451917311059273,0.3609517351762532,0.2794790979785224,1.7988361772382633,0.5376041666666667,0.05895124736570229,0.4375,0.6458333333333334
patch_reassignment_v1,gtsrb/resnet50,gtsrb,resnet50,101,global_direction_shuffle,48,20,2,200,1.0,48,0.97875,0.6875,0.4448958333333334,0.004975124378109453,0.6875,0.24260416666666665,0.05178655026350417,0.14583333333333334,0.3541666666666667,0.4448958333333334,0.004975124378109453,0.0,0.24260416666666665,0.05178655026350417,0.14583333333333334,0.3541666666666667,0.20575,0.0628746548477383,0.09989583333333334,0.3375,0.36,0.2835489375751565,0.0,1.0,1.083479520943943,0.3594540542121662,0.45820040117358535,1.8575842686234725,0.534375,0.0549522362046249,0.4375,0.6463541666666668
patch_reassignment_v1,gtsrb/resnet50,gtsrb,resnet50,101,global_magnitude_shuffle,48,20,2,200,1.0,48,0.9830208333333335,0.6875,-0.003854166666666603,0.9651741293532339,0.6875,0.6913541666666666,0.00978889588456682,0.6666666666666666,0.7083333333333334,-0.003854166666666603,0.9651741293532339,0.0,0.6913541666666666,0.00978889588456682,0.6666666666666666,0.7083333333333334,0.5758958333333332,0.01083235171834815,0.5583333333333333,0.5958333333333333,1.0,0.0,1.0,1.0,5.355509623416163,0.09519166094955664,5.167184284985005,5.550741666638666,0.8659375,0.018111525163552637,0.8333333333333334,0.8958333333333334
patch_reassignment_v1,gtsrb/resnet50,gtsrb,resnet50,101,within_true_class_shuffle,48,20,2,200,0.8333333333333334,40,0.5860416666666667,0.6875,0.011979166666666763,0.4925373134328358,0.725,0.710625,0.02214123697989793,0.675,0.75,0.014375000000000027,0.4925373134328358,0.0,0.6755208333333332,0.01845103081658162,0.6458333333333334,0.7083333333333334,0.5680833333333333,0.015692576093313818,0.5416666666666666,0.5958333333333333,1.0,0.0,1.0,1.0,5.410368904042989,0.1276836579135518,5.164375218260101,5.63724104516441,0.82375,0.01814295088089771,0.7916666666666666,0.8541666666666666
patch_reassignment_v1,gtsrb/resnet50,gtsrb,resnet50,101,within_failure_type_shuffle,48,20,2,200,0.5208333333333334,25,0.30572916666666666,0.6875,0.006979166666666536,0.6666666666666666,0.8,0.7866,0.018879618640216242,0.76,0.8,0.013400000000000079,0.6666666666666666,0.0,0.6805208333333335,0.009833134708445969,0.6666666666666666,0.6875,0.5666458333333333,0.00589988082506755,0.5583333333333333,0.5708333333333333,1.0,0.0,1.0,1.0,5.770203728519846,0.0,5.770203728519846,5.770203728519846,0.8471875,0.009833134708445915,0.8333333333333334,0.8541666666666666
patch_reassignment_v1,gtsrb/resnet50,gtsrb,resnet50,202,original,48,20,4,1,1.0,48,0.0,0.75,0.0,nan,0.75,0.75,0.0,0.75,0.75,0.0,nan,0.0,0.75,0.0,0.75,0.75,0.7007142857142857,0.0,0.7007142857142857,0.7007142857142857,1.0,0.0,1.0,1.0,5.886466765543446,0.0,5.886466765543446,5.886466765543446,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334
patch_reassignment_v1,gtsrb/resnet50,gtsrb,resnet50,202,global_effect_shuffle,48,20,4,200,1.0,48,0.9789583333333332,0.75,0.5629166666666667,0.004975124378109453,0.75,0.18708333333333332,0.05674779731408083,0.08333333333333333,0.2916666666666667,0.5629166666666667,0.004975124378109453,0.0,0.18708333333333332,0.05674779731408083,0.08333333333333333,0.2916666666666667,0.17079761904761903,0.06180707837814147,0.06305357142857143,0.2808214285714286,0.0675,0.12676257334087218,0.0,0.25,0.7172178789779232,0.36141641418136317,-0.01772119915112851,1.4741962887695992,0.5395833333333333,0.06434768838116875,0.3958333333333333,0.6875
patch_reassignment_v1,gtsrb/resnet50,gtsrb,resnet50,202,global_direction_shuffle,48,20,4,200,1.0,48,0.9769791666666667,0.75,0.5480208333333333,0.004975124378109453,0.75,0.20197916666666668,0.05409440291826256,0.10416666666666667,0.3125,0.5480208333333333,0.004975124378109453,0.0,0.20197916666666668,0.05409440291826256,0.10416666666666667,0.3125,0.1812047619047619,0.060093816676269514,0.06979166666666667,0.2959702380952381,0.0825,0.1416642156650719,0.0,0.5,0.7375991810316563,0.38076321604873475,-0.038056696865703746,1.532560098582153,0.5455208333333332,0.06145224192976562,0.4166666666666667,0.6666666666666666
patch_reassignment_v1,gtsrb/resnet50,gtsrb,resnet50,202,global_magnitude_shuffle,48,20,4,200,1.0,48,0.9786458333333334,0.75,0.017395833333333388,0.2537313432835821,0.75,0.7326041666666666,0.011557806855349139,0.7083333333333334,0.75,0.017395833333333388,0.2537313432835821,0.0,0.7326041666666666,0.011557806855349139,0.7083333333333334,0.75,0.6943214285714285,0.004606865993895914,0.6835714285714285,0.7007142857142857,1.0,0.0,1.0,1.0,5.555858697881754,0.0828882947659454,5.392227361049566,5.711558119489518,0.8429166666666665,0.012983697042402374,0.8125,0.8541666666666666
