experiment_id,setting,dataset,backbone,seed,condition,n,n_classes,n_estimable_classes,n_permutations,eligible_fraction,n_eligible,moved_fraction,original_RR_held,original_minus_mean_RR,p_null_ge_original,original_RR_held_eligible,RR_held_mean_eligible,RR_held_std_eligible,RR_held_p025_eligible,RR_held_p975_eligible,original_minus_mean_RR_eligible,p_null_ge_original_eligible,max_reconstruction_error,RR_held_mean,RR_held_std,RR_held_p025,RR_held_p975,macro_RR_mean,macro_RR_std,macro_RR_p025,macro_RR_p975,coverage_at_0.5_mean,coverage_at_0.5_std,coverage_at_0.5_p025,coverage_at_0.5_p975,target_margin_gain_mean,target_margin_gain_std,target_margin_gain_p025,target_margin_gain_p975,flip_rate_mean,flip_rate_std,flip_rate_p025,flip_rate_p975
patch_reassignment_nnpatching_v1,gtsrb/resnet50,gtsrb,resnet50,101,original,48,20,2,1,1.0,48,0.0,0.6458333333333334,0.0,nan,0.6458333333333334,0.6458333333333334,0.0,0.6458333333333334,0.6458333333333334,0.0,nan,0.0,0.6458333333333334,0.0,0.6458333333333334,0.6458333333333334,0.55,0.0,0.55,0.55,1.0,0.0,1.0,1.0,10.048405648636011,0.0,10.048405648636011,10.048405648636011,0.9791666666666666,0.0,0.9791666666666666,0.9791666666666666
patch_reassignment_nnpatching_v1,gtsrb/resnet50,gtsrb,resnet50,101,global_effect_shuffle,48,20,2,200,1.0,48,0.9798958333333333,0.6458333333333334,0.45375,0.004975124378109453,0.6458333333333334,0.19208333333333336,0.052546275901448156,0.08333333333333333,0.2916666666666667,0.45375,0.004975124378109453,0.0,0.19208333333333336,0.052546275901448156,0.08333333333333333,0.2916666666666667,0.17935416666666665,0.06155296034378309,0.0790625,0.3,0.14,0.2406241883103193,0.0,0.5,0.06402108348517989,0.8469814580005494,-1.4918396071511475,1.725746136875629,0.6907291666666667,0.056714804155675855,0.5833333333333334,0.7921875
patch_reassignment_nnpatching_v1,gtsrb/resnet50,gtsrb,resnet50,101,global_direction_shuffle,48,20,2,200,1.0,48,0.9798958333333333,0.6458333333333334,0.464375,0.004975124378109453,0.6458333333333334,0.18145833333333336,0.05189925804971697,0.08333333333333333,0.2916666666666667,0.464375,0.004975124378109453,0.0,0.18145833333333336,0.05189925804971697,0.08333333333333333,0.2916666666666667,0.16952083333333334,0.05867693077233259,0.0790625,0.304375,0.1175,0.21781586259958202,0.0,0.5,0.6040468043841571,0.8142498014254532,-1.1963622171196124,2.1170235069763916,0.7091666666666667,0.051826031104069706,0.6041666666666666,0.7921875
patch_reassignment_nnpatching_v1,gtsrb/resnet50,gtsrb,resnet50,101,global_magnitude_shuffle,48,20,2,200,1.0,48,0.9769791666666666,0.6458333333333334,-0.011562500000000031,0.9353233830845771,0.6458333333333334,0.6573958333333334,0.01582476467702862,0.625,0.6875,-0.011562500000000031,0.9353233830845771,0.0,0.6573958333333334,0.01582476467702862,0.625,0.6875,0.5579791666666667,0.0073098285718613204,0.5416666666666666,0.5708333333333333,1.0,0.0,1.0,1.0,10.99260184225425,0.33008029479981627,10.393306905177852,11.631455510217847,0.9339583333333333,0.014599693204539176,0.9166666666666666,0.9583333333333334
patch_reassignment_nnpatching_v1,gtsrb/resnet50,gtsrb,resnet50,101,within_true_class_shuffle,48,20,2,200,0.8333333333333334,40,0.5814583333333333,0.6458333333333334,0.028958333333333308,0.1890547263681592,0.675,0.6402500000000001,0.02559174671647093,0.6,0.6756250000000001,0.03474999999999995,0.1890547263681592,0.0,0.6168750000000001,0.0213264555970591,0.5833333333333334,0.6463541666666668,0.5317500000000001,0.013885444017227366,0.5041666666666667,0.5502083333333334,1.0,0.0,1.0,1.0,8.573408143192063,0.3592809891333332,7.84052983673755,9.268646049278324,0.9163541666666666,0.027910252683576893,0.8541666666666666,0.9583333333333334
patch_reassignment_nnpatching_v1,gtsrb/resnet50,gtsrb,resnet50,101,within_failure_type_shuffle,48,20,2,200,0.5208333333333334,25,0.31489583333333326,0.6458333333333334,0.014062499999999978,0.3283582089552239,0.76,0.733,0.01873499399519521,0.72,0.76,0.027000000000000024,0.3283582089552239,0.0,0.6317708333333334,0.009757809372497515,0.625,0.6458333333333334,0.544375,0.003903123748999037,0.5416666666666666,0.55,1.0,0.0,1.0,1.0,10.04840564863601,1.7763568394002505e-15,10.048405648636011,10.048405648636011,0.9791666666666665,1.1102230246251565e-16,0.9791666666666666,0.9791666666666666
patch_reassignment_nnpatching_v1,gtsrb/resnet50,gtsrb,resnet50,202,original,48,20,4,1,1.0,48,0.0,0.7083333333333334,0.0,nan,0.7083333333333334,0.7083333333333334,0.0,0.7083333333333334,0.7083333333333334,0.0,nan,0.0,0.7083333333333334,0.0,0.7083333333333334,0.7083333333333334,0.674047619047619,0.0,0.674047619047619,0.674047619047619,1.0,0.0,1.0,1.0,9.15402579162037,0.0,9.15402579162037,9.15402579162037,0.9375,0.0,0.9375,0.9375
patch_reassignment_nnpatching_v1,gtsrb/resnet50,gtsrb,resnet50,202,global_effect_shuffle,48,20,4,200,1.0,48,0.9804166666666666,0.7083333333333334,0.5333333333333334,0.004975124378109453,0.7083333333333334,0.175,0.051832730435936364,0.0625,0.2708333333333333,0.5333333333333334,0.004975124378109453,0.0,0.175,0.051832730435936364,0.0625,0.2708333333333333,0.15819999999999998,0.0620335320046386,0.05166666666666666,0.2884285714285714,0.04125,0.09279513726483733,0.0,0.25,0.33713239897129826,0.8600442126116925,-1.410799154008176,2.17573692114723,0.6873958333333333,0.05394576349729009,0.5833333333333334,0.7916666666666666
patch_reassignment_nnpatching_v1,gtsrb/resnet50,gtsrb,resnet50,202,global_direction_shuffle,48,20,4,200,1.0,48,0.9801041666666666,0.7083333333333334,0.5440625000000001,0.004975124378109453,0.7083333333333334,0.1642708333333333,0.052917384345526966,0.0625,0.2708333333333333,0.5440625000000001,0.004975124378109453,0.0,0.1642708333333333,0.052917384345526966,0.0625,0.2708333333333333,0.15062619047619047,0.05458630910515342,0.058797619047619036,0.25928571428571423,0.03625,0.09150648884095595,0.0,0.25,0.5395240105657497,0.7585633707201561,-0.692470787630525,2.0379392851268685,0.6953125,0.05786409109451599,0.5625,0.8125
patch_reassignment_nnpatching_v1,gtsrb/resnet50,gtsrb,resnet50,202,global_magnitude_shuffle,48,20,4,200,1.0,48,0.9801041666666666,0.7083333333333334,0.0031250000000000444,0.8507462686567164,0.7083333333333334,0.7052083333333333,0.007438987946398815,0.6875,0.7083333333333334,0.0031250000000000444,0.8507462686567164,0.0,0.7052083333333333,0.007438987946398815,0.6875,0.7083333333333334,0.6671904761904763,0.01706589868595214,0.6240476190476191,0.674047619047619,1.0,0.0,1.0,1.0,9.382741131414868,0.2242023571494221,9.035340162665277,9.873249762906607,0.9244791666666665,0.011493789838913505,0.8958333333333334,0.9375
