method,setting,seed,theta,n_train_flip_seen,n_train_flip_calib,RR_held,Reg,CReg,note
PatchNAS,tt100k_signs/resnet50,101,0.0,206,1675,0.39147286821705424,0.0011046672190002762,0.0007306380905991232,
PatchNAS,tt100k_signs/resnet50,202,0.0,206,1643,0.45348837209302323,0.0012427506213753107,0.00024551927326295114,
PatchNAS,tt100k_signs/resnet50,303,0.0,206,1690,0.32558139534883723,0.00041425020712510354,0.000488162069807176,
PatchNAS,tt100k_signs/convnext_tiny,101,0.0,173,1731,0.3440366972477064,0.0012318642211880647,0.0012132977432661976,
PatchNAS,tt100k_signs/convnext_tiny,202,0.0,174,1703,0.4954128440366973,0.0015056118258965235,0.001212709192335678,
PatchNAS,tt100k_signs/convnext_tiny,303,0.0,174,1594,0.43577981651376146,0.0010949904188338351,0.0009640877319836105,
PatchNAS,tt100k_signs/densenet121,101,0.0,250,1644,0.5352564102564102,0.0020964360587002098,0.001223391240518718,
PatchNAS,tt100k_signs/densenet121,202,0.0,250,1594,0.4775641025641026,0.0012578616352201257,0.0009883864591055103,
PatchNAS,tt100k_signs/densenet121,303,0.0,250,1649,0.5384615384615384,0.0019566736547868622,0.0012221950623319481,
PatchNAS,tt100k_signs/vgg16,101,0.0,262,1397,0.21036585365853658,0.004628330995792427,0.0024271844660194173,
PatchNAS,tt100k_signs/vgg16,202,0.0,262,1418,0.28353658536585363,0.005610098176718092,0.005425400739827373,
PatchNAS,tt100k_signs/vgg16,303,0.0,262,1412,0.2347560975609756,0.004488078541374474,0.003931203931203931,
PatchNAS,lisa_signs/resnet50,101,0.0,27,369,0.5294117647058824,0.001607717041800643,0.002844950213371266,
PatchNAS,lisa_signs/resnet50,202,0.0,27,412,0.4411764705882353,0.005894962486602358,0.004213483146067416,
PatchNAS,lisa_signs/resnet50,303,0.0,27,404,0.20588235294117646,0.0010718113612004287,0.0,
PatchNAS,lisa_signs/convnext_tiny,101,0.0,10,437,0.42857142857142855,0.001579778830963665,0.0026560424966799467,
PatchNAS,lisa_signs/convnext_tiny,202,0.0,10,377,0.42857142857142855,0.0026329647182727752,0.006613756613756613,
PatchNAS,lisa_signs/convnext_tiny,303,0.0,10,382,0.21428571428571427,0.0,0.0,
PatchNAS,lisa_signs/densenet121,101,0.0,13,439,0.17647058823529413,0.0015839493136219642,0.00267379679144385,
PatchNAS,lisa_signs/densenet121,202,0.0,13,387,0.29411764705882354,0.0010559662090813093,0.0027624309392265192,
PatchNAS,lisa_signs/densenet121,303,0.0,13,414,0.29411764705882354,0.0021119324181626186,0.0027210884353741495,
PatchNAS,lisa_signs/vgg16,101,0.0,28,358,0.2777777777777778,0.0037553648068669528,0.006915629322268326,
PatchNAS,lisa_signs/vgg16,202,0.0,28,385,0.3055555555555556,0.001609442060085837,0.0013679890560875513,
PatchNAS,lisa_signs/vgg16,303,0.0,28,432,0.2222222222222222,0.001072961373390558,0.001375515818431912,
